id,common_name,ra,dec,size,mag,type
M31 Andromeda,Andromeda Galaxy,10.674999999999999,41.266666666666666,178.0,3.5,Gx
M44 Żłóbek,Beehive Cluster,130.02499999999998,19.983333333333334,95.0,3.0999999046325684,OC
M8 Laguna,Lagoon Nebula,270.94999999999993,-24.383333333333333,90.0,5.800000190734863,Nb
M16 Orzeł,Crab Nebula,274.69999999999993,-13.783333333333333,90.0,6.0,Nb
M42 Orion,Orion Nebula,83.85,-5.45,66.0,4.0,Nb
M33 Trójkąt,Triangulum Galaxy,23.474999999999998,30.65,62.0,5.699999809265137,Gx
M17 Omega,Crab Nebula,275.2,-16.183333333333334,60.0,6.0,Nb
M41,,101.74999999999999,-20.733333333333334,38.0,4.5,OC
M34,,40.5,42.78333333333333,35.0,5.199999809265137,OC
M45 Plejady,Pleiades,56.44999999999999,24.366666666666667,30.0,,Nb
M20 Trójlistna,Resurrection Nebula,270.575,-23.033333333333335,29.0,6.300000190734863,C+N
M35,,92.225,24.333333333333332,28.0,5.099999904632568,OC
M101 Wiatraczek,Crab Nebula,210.79999999999995,54.35,26.899999618530273,7.699999809265137,Gx
M81 Bode,Lagoon Nebula,148.89999999999998,69.06666666666666,25.700000762939453,6.900000095367432,Gx
M37,,88.09999999999998,32.55,24.0,5.599999904632568,OC
M38,,82.175,35.833333333333336,21.0,6.400000095367432,OC
M43,,83.89999999999999,-5.266666666666667,20.0,9.0,Nb
M13 Herkules,Crab Nebula,250.42499999999998,36.46666666666667,16.600000381469727,5.900000095367432,Gb
M27 Hantle,Resurrection Nebula,299.9,22.716666666666665,15.199999809265137,8.100000381469727,Pl
M62,Butterfly Cluster,255.29999999999995,-30.116666666666667,14.100000381469727,6.599999904632568,Gb
M11 Dzika Kaczka,Crab Nebula,282.775,-6.266666666666667,14.0,5.800000190734863,OC
M19,Crab Nebula,255.64999999999998,-26.266666666666666,13.5,7.199999809265137,Gb
M15,Crab Nebula,322.49999999999994,12.166666666666666,12.300000190734863,6.400000095367432,Gb
M14,Crab Nebula,264.3999999999999,-3.25,11.699999809265137,7.599999904632568,Gb
M82 Cygaro,Lagoon Nebula,148.95,69.68333333333334,11.199999809265137,8.399999618530273,Gx
M92,,259.275,43.13333333333333,11.199999809265137,6.5,Gb
M51 Wir,Whirlpool Galaxy,202.47499999999997,47.2,11.0,8.399999618530273,Gx
M9,,259.79999999999995,-18.516666666666666,9.300000190734863,7.900000095367432,Gb
M104 Sombrero,Crab Nebula,189.99999999999997,-11.616666666666667,8.899999618530273,8.300000190734863,Gx
M1 Krab,Crab Nebula,83.62499999999999,22.016666666666666,6.0,8.399999618530273,Nb
M92,,251.75,47.53333333333333,4.5,9.399999618530273,Gb
M57 Pierścień,Ring Nebula,283.4,33.03333333333333,2.5,9.0,Pl
Sh2-276.0,Barnard’s Loop,81.867173,-3.965242,1200.0,,Nb
Sh2-109.0,,308.410257,40.342476,1080.0,,Nb
Sh2-245.0,Eridanus Loop/Fishhook Nebula,60.639377,4.128584,720.0,,Nb
Sh2-312.0,,134.790511,-25.688557,720.0,,Nb
Sh2-27.0,,249.301709,-10.569733,480.0,,Nb
Sh2-118.0,,324.254718,40.215724,480.0,,Nb
Sh2-310.0,,108.263998,-24.586383,480.0,,Nb
Sh2-178.0,,334.734369,87.761599,420.0,,Nb
Sh2-264.0,Angelfish Nebula,83.802219,9.933437,390.0,,Nb
NGC 1499,California Nebula,60.17499999999999,36.61666666666667,320.0,,Nb
Sh2-230.0,Obszar emisyjny w Woźnicy,80.626542,34.131925,300.0,,Nb
NGC 2264,Cone Nebula / Christmas Tree,100.27499999999999,9.883333333333333,250.0,3.9000000953674316,Nb
NGC 7000,North America Nebula,314.7,44.333333333333336,240.0,,Nb
Sh2-7.0,,240.082349,-22.950642,240.0,,Nb
Sh2-103.0,,312.6353,30.923446,210.0,,Nb
Sh2-296.0,,106.450219,-11.21887,200.0,,Nb
Sh2-304.0,,100.86086,-24.133306,200.0,,Nb
IC 353,Molecular Cloud near M45,58.74999999999999,25.483333333333334,180.0,,Nb
IC 360,Molecular Cloud in Taurus,63.24999999999999,25.633333333333333,180.0,,Nb
IC 2118,Witch Head Nebula,76.725,-7.216666666666667,180.0,,Nb
Sh2-108.0,,305.647837,40.254302,180.0,,Nb
Sh2-171.0,The Teddy Bear Nebula,1.167736,67.156754,180.0,,Nb
Sh2-240.0,Spaghetti Nebula,85.251383,28.103722,180.0,,Nb
IC 1396,Elephant's Trunk Nebula,324.775,57.5,170.0,3.5,C+N
Sh2-202.0,,49.714745,59.633997,170.0,,Nb
Sh2-119.0,,319.607464,43.937802,160.0,,Nb
Sh2-126.0,,338.364627,38.582232,160.0,,Nb
Sh2-134.0,,332.874496,59.410326,160.0,,Nb
IC 1805,Heart Nebula,38.175,61.45,150.0,6.5,Nb
IC 4592,,242.99999999999997,-19.466666666666665,150.0,,Nb
Sh2-1.0,,239.713366,-26.12052,150.0,,Nb
Sh2-54.0,,274.471479,-11.730014,140.0,,Nb
Sh2-129.0,,317.937184,59.961301,140.0,,Nb
IC 434,Horsehead Nebula,85.25,-2.4,120.0,,Nb
IC 2177,,106.27499999999999,-10.7,120.0,,Nb
NGC 3372,,160.95,-59.86666666666667,120.0,,Nb
NGC 6383,,263.69999999999993,-32.56666666666667,120.0,5.5,Nb
Sh2-8.0,,260.353529,-36.034691,120.0,,Nb
Sh2-91.0,,293.891846,29.604452,120.0,,Nb
Sh2-185.0,,15.000065,60.989678,120.0,,Nb
Sh2-199.0,,43.639879,60.409384,120.0,,Nb
Sh2-205.0,,59.034023,53.194393,120.0,,Nb
Sh2-221.0,,75.416721,46.34883,120.0,,Nb
NGC 2244,Rosette Cluster,98.1,4.866666666666667,100.0,4.800000190734863,Nb
Sh2-5.0,,260.01446,-38.45477,100.0,,Nb
IC 4628,,254.24999999999997,-40.333333333333336,90.0,,Nb
NGC 6530,,271.19999999999993,-24.333333333333332,90.0,4.599999904632568,Nb
Sh2-11.0,,261.628966,-34.205691,90.0,,Nb
Sh2-34.0,,271.602081,-21.658393,90.0,,Nb
Sh2-41.0,,273.964267,-18.235265,90.0,,Nb
Sh2-111.0,,325.472051,30.105702,90.0,,Nb
Sh2-132.0,Lion Nebula,334.698644,56.134785,90.0,,Nb
Sh2-137.0,,329.27983,64.693635,90.0,,Nb
Sh2-145.0,,336.390123,64.308586,90.0,,Nb
Sh2-157.0,,349.014861,60.045551,90.0,,Nb
Sh2-303.0,,103.507476,-22.425061,90.0,,Nb
NGC 6475,,268.47499999999997,-34.81666666666667,80.0,3.299999952316284,OC
IC 5068,,312.7,42.516666666666666,80.0,,Nb
IC 5070,Pelican Nebula,312.7,44.35,80.0,,Nb
Sh2-9.0,,245.295389,-25.589444,80.0,,Nb
Sh2-133.0,,322.249782,64.30521,80.0,,Nb
Sh2-160.0,,346.4487,64.67346,80.0,,Nb
Sh2-216.0,,71.237642,46.820848,80.0,,Nb
Sh2-249.0,,95.242648,23.089801,80.0,,Nb
Sh2-284.0,,101.258422,0.230744,80.0,,Nb
IC 2944,,174.14999999999998,-63.03333333333333,75.0,4.5,C+N
Sh2-73.0,,242.781771,21.874001,75.0,,Nb
NGC 6960,Western Veil (Witch's Broom),311.42499999999995,30.716666666666665,70.0,,Nb
Sh2-124.0,,324.590477,50.351297,70.0,,Nb
Sh2-218.0,,85.319055,52.188411,70.0,,Nb
Sh2-223.0,,79.299584,42.211837,70.0,,Nb
Sh2-265.0,,79.651593,7.439821,70.0,,Nb
Sh2-229.0,,79.079116,34.463366,65.0,,Nb
Sh2-246.0,,75.539968,14.095695,65.0,,Nb
NGC 7822,,0.8999999999999999,68.61666666666666,60.0,,Nb
IC 1848,Soul Nebula,42.8,60.43333333333333,60.0,6.5,C+N
IC 2948,,174.7,-63.53333333333333,60.0,,Nb
IC 4604,,246.39999999999995,-23.433333333333334,60.0,,Nb
NGC 6281,,256.19999999999993,-37.9,60.0,5.400000095367432,C+N
IC 4701,,274.12499999999994,-16.733333333333334,60.0,,Nb
NGC 6604,,274.525,-12.233333333333333,60.0,6.5,C+N
IC 1311,,302.575,41.21666666666667,60.0,13.0,C+N
NGC 6992,Eastern Veil,314.09999999999997,31.716666666666665,60.0,,Nb
Sh2-2.0,,256.027602,-38.14249,60.0,,Nb
Sh2-10.0,,259.750056,-34.090316,60.0,,Nb
Sh2-22.0,,268.765749,-25.036147,60.0,,Nb
Sh2-154.0,,342.852607,61.18062,60.0,,Nb
Sh2-155.0,Cave Nebula,344.182428,62.617717,60.0,,Nb
Sh2-268.0,,92.562715,13.331964,60.0,,Nb
NGC 3532,,166.6,-58.666666666666664,55.0,3.0,OC
Sh2-63.0,,299.42993,-14.115665,55.0,,Nb
Sh2-161.0,,348.872784,61.861956,55.0,,Nb
Sh2-236.0,,80.640968,33.36507,55.0,,Nb
NGC 2548,,123.44999999999999,-5.8,54.0,5.800000190734863,OC
IC 4756,,279.74999999999994,5.45,52.0,5.0,OC
NGC 752,,29.449999999999996,37.68333333333333,50.0,5.699999809265137,OC
NGC 1990,,84.05,-1.2,50.0,,Nb
IC 443,,94.22499999999998,22.783333333333335,50.0,,Nb
IC 2391,,130.04999999999998,-53.06666666666667,50.0,2.5,OC
IC 2602,,160.79999999999998,-64.4,50.0,1.899999976158142,OC
NGC 6357,,261.15,-34.166666666666664,50.0,,Nb
Sh2-23.0,,243.352583,-8.372276,50.0,,Nb
